id,clase,orden,familia,nombre_cientifico,nombre_comun,origen,conservacion
4336,Magnoliopsida,Solanales,Solanaceae,Reyesia parviflora,—,Nativa,—
4420,Magnoliopsida,Asterales,Asteraceae,Solidago chilensis,Huellén,Exótica,—
4442,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria parviflora,—,Nativa,—
4586,Magnoliopsida,Caryophyllales,Portulacaceae,Cistanthe grandiflora,—,Nativa,—
4617,Magnoliopsida,Caryophyllales,Portulacaceae,Montiopsis cistiflora,—,Nativa,—
4622,Magnoliopsida,Caryophyllales,Portulacaceae,Montiopsis parviflora,—,Nativa,—
4690,Liliopsida,Liliales,Liliaceae,Oziroé biflora,—,Nativa,—
4710,Magnoliopsida,Asterales,Asteraceae,Tagetes multiflora,—,Nativa,—
4734,Liliopsida,Orchidales,Corsiaceae,Arachnitis uniflora,—,Nativa,—
4895,Liliopsida,Orchidales,Orchidaceae,Ulantha grandiflora,—,Nativa,—
4994,Magnoliopsida,Nepenthales,Droseraceae,Drosera uniflora,—,Nativa,—
5007,Magnoliopsida,Mirtales,Onagraceae,Fuchsia magellanica,—,Nativa,—
5047,Magnoliopsida,Lamiales,Verbenaceae,Junellia uniflora,—,Nativa,—
5109,Magnoliopsida,Plantaginales,Plantaginaceae,Ourisia breviflora,—,Nativa,—
5285,Liliopsida,Liliales,Tecophilaeaceae,Tecophilaea violaeflora,—,Nativa,—
5357,Magnoliopsida,Solanales,Polemoniaceae,Collomia biflora,—,Nativa,—
7029,Liliopsida,Cyperales,Poaceae,Danthonia californica var. americana,—,Exótica,—
7831,Magnoliopsida,Lamiales,Verbenaceae,Lantana camara,—,Exótica,—
